coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,price_ma_2,price_std_2,liquidity_ratio,cap_to_volume,weighted_change
Alien Worlds,TLM,2.4063172283123933e-06,0.8911138923654569,0.5511038430089941,0.10433604336043358,0.0009240200841196697,7.390558778567295e-05,2022-03-17,2.374340972315816e-06,4.522125490427358e-08,271.2665973795579,0.0798961979901312,0.0005092310193758439
AllianceBlock,ALBT,5.386940923452912e-06,0.9123904881101377,0.5895339329517579,0.11691831204026323,1.0259641274857808e-05,2.5569153112793805e-05,2022-03-16,,,1.6063466685881345,2.270867471585297,6.048406671441112e-06
AllianceBlock,ALBT,5.576230510075226e-06,0.8773466833541927,0.5592804578904332,0.11827332559039873,6.5613740035793276e-06,2.987442990707956e-05,2022-03-17,5.481585716764069e-06,1.338479503086363e-07,0.9977408780800586,3.950926100592022,3.6696482571122315e-06
Alpha Finance,ALPHA,6.776140159598393e-06,0.9036295369211514,0.5723630417007358,0.11207897793263644,0.00012782012518480591,7.551793340038182e-05,2022-03-16,,,16.437477020914105,0.5862277597700163,7.315951564134434e-05
Alpha Finance,ALPHA,6.793851182186741e-06,0.8848560700876096,0.5314799672935404,0.10743321718931473,9.887917593235104e-05,7.633573940919885e-05,2022-03-17,6.784995670892567e-06,1.2523584173968724e-08,12.686818572869935,0.7642808292781835,5.255230119053816e-05
Alpine F1 Team Fan Token,ALPINE,0.00021253227102416817,0.8848560700876096,0.5682747342600163,0.440572977158343,0.002649900318337232,4.400935021663257e-05,2022-03-16,,,12.409835317291732,0.016601661674037323,0.0015058713992186232
Alpine F1 Team Fan Token,ALPINE,0.0002426167477495807,0.8836045056320401,0.6443172526573998,0.2924893534649632,0.0039123863982519136,6.22007855949947e-05,2022-03-17,0.00022757450938687445,2.127293750098805e-05,16.059595386576405,0.01589436341445338,0.0025208180554558528
Amp,AMP,6.07418593565292e-07,0.9036295369211514,0.5339329517579721,0.10859465737514515,0.000139548378618357,0.00146016840939027,2022-03-16,,,86.8152074244926,10.38908042728255,7.450947770873843e-05
Amp,AMP,6.095777280737153e-07,0.8785982478097623,0.5322976287816843,0.10162601626016257,0.00011658564952408803,0.0014708747343182226,2022-03-17,6.084981608195036e-07,1.5267386524000478e-09,72.43244454159635,12.508964659134755,6.205826479164456e-05
Ampleforth,AMPL,2.71730757159812e-05,0.904881101376721,0.6475878986099755,0.15350367789392177,0.00016995816441902682,3.313628037187532e-05,2022-03-16,,,6.032645002356555,0.19382683760371153,0.00011006285054772628
Ampleforth,AMPL,2.5959991977053275e-05,0.8811013767209012,0.48814390842191324,0.1281455671699574,2.3459251323559657e-05,2.8657162117948806e-05,2022-03-17,2.6566533846517237e-05,8.577797379430672e-07,0.8701505305909127,1.1716287526080422,1.1451490629734352e-05
Anchor Protocol,ANC,7.521119177752704e-05,0.9561952440550688,0.6001635322976288,0.07317073170731705,0.0018559720616591708,0.0009558949207026734,2022-03-16,,,24.35301191821088,0.5147599904376583,0.0011138867483710803
Anchor Protocol,ANC,6.914577308288741e-05,0.8748435544430538,0.46034341782502036,0.04316686024003094,0.0013439102020839765,0.0008874978957517745,2022-03-17,7.217848243020722e-05,4.288898689715336e-06,19.158819455820264,0.6598937939325402,0.0006186602156772516
Ankr,ANKR,1.751251625180479e-06,0.9098873591989988,0.5412919051512673,0.09562524196670535,0.0007040515538342314,0.0006723368985641139,2022-03-16,,,255.9022764004897,0.9535996267333817,0.0003810974068996412
Ankr,ANKR,1.7646314976465598e-06,0.8823529411764707,0.5339329517579721,0.09833526906697636,0.00036726452674412636,0.0006815153366596408,2022-03-17,1.7579415614135194e-06,9.46099855217685e-09,132.84393491746246,1.8506135866112456,0.00019609463284048605
Ankr Reward-Bearing Staked ETH,AETHC,0.053288099866842104,0.9073842302878599,0.5298446443172525,0.1041424699961285,2.2602756519289547e-05,6.588002282845585e-05,2022-03-16,,,0.00042415346807825484,2.7912003741857383,1.1975949488552431e-05
Ankr Reward-Bearing Staked ETH,AETHC,0.054703040739927634,0.8873591989987485,0.5502861815208503,0.10123886953155244,1.78607154967965e-06,7.078874287366353e-05,2022-03-17,0.053995570303384866,0.0010005142863367955,3.26497188419945e-05,25.40808504426349,9.828504929962424e-07
Aragon,ANT,0.00011208893744093597,0.9148936170212766,0.5690923957481602,0.1178861788617886,0.0005420717659874898,0.0001425755493564752,2022-03-16,,,4.793322656078565,0.2625353743021867,0.0003084889199732566
Aragon,ANT,0.00011160370394536479,0.8873591989987485,0.5224856909239575,0.10181958962446765,0.00035112537943989144,0.0001406897787271407,2022-03-17,0.00011184632069315038,3.4311189517723264e-07,3.1182400501697276,0.3995445569726585,0.0001834579864775884
Ardor,ARDR,4.6809989724211946e-06,0.8986232790988735,0.5445625511038429,0.10588463027487414,0.00010825962453978372,0.00016145196670883265,2022-03-16,,,19.056441493008116,1.4776910262037795,5.8954137320928817e-05
Ardor,ARDR,4.717124606166468e-06,0.8760951188986233,0.5347506132461161,0.09969028261711185,8.66375537946505e-05,0.00016566847421860425,2022-03-17,4.699061789293831e-06,2.5544680595944438e-08,15.15404329323233,1.8903822282259648,4.6329485021832725e-05
Ark,ARK,2.0243383380704986e-05,0.8898623279098873,0.5421095666394112,0.10259388308168796,4.746017895246593e-05,9.246234885941458e-05,2022-03-16,,,2.234115823356708,1.9080067564362464,2.5728617044550212e-05
Ark,ARK,2.0744896460052567e-05,0.8911138923654569,0.5478331970564185,0.09775454897406115,3.7834041079521055e-05,9.524463694354071e-05,2022-03-17,2.0494139920378774e-05,3.546232992604226e-07,1.73990440235141,2.452606895803268,2.0726743682157893e-05
Arweave,AR,0.0007889896637627183,0.8773466833541927,0.588716271463614,0.10840108401084009,0.0008740203508644397,0.002025649134171132,2022-03-16,,,1.1063693500766623,2.3149737399478503,0.0005145500021442327
Arweave,AR,0.0008156775060191325,0.9011264080100125,0.5560098119378577,0.08730158730158727,0.0006769262092446564,0.0020851475338317304,2022-03-17,0.0008023335848909254,1.8871154234747372e-05,0.8288782343771298,3.0757735951158995,0.00037637761429792834
AscendEx Token,ASD,5.101793459780514e-06,0.8886107634543179,0.5183973834832378,0.1022067363530778,3.857428485082611e-05,0.000114542077607851,2022-03-16,,,6.321794584671776,2.894356222471572,1.9996808336405352e-05
AscendEx Token,ASD,5.0707385160639586e-06,0.8785982478097623,0.5273916598528209,0.09891598915989157,3.445281894165047e-05,0.00011563879695087592,2022-03-17,5.086265987922236e-06,2.1959161291342812e-08,5.675226967935426,3.2617659301281074,1.8170129368245748e-05
Astar,ASTR,2.504532651386269e-06,0.8923654568210263,0.5339329517579721,0.11420828493999223,0.00013794364832366338,0.00017972044603245576,2022-03-16,,,39.361496109644676,1.2934772348413117,7.365265932571722e-05
Astar,ASTR,2.614316729759246e-06,0.8798498122653317,0.5641864268192968,0.11324041811846687,0.00015391084421135818,0.00019625002494222987,2022-03-17,2.5594246905727577e-06,7.762906628384745e-08,42.58366261708623,1.266857888105426,8.683440924434761e-05
Astroport,ASTRO,4.900858301668385e-05,0.9236545682102628,0.5273916598528209,0.1846689895470383,0.00010341196509550697,0.00023696528162192097,2022-03-16,,,2.067884328196356,2.269522285163063,5.45386079203614e-05
Astroport,ASTRO,4.391363131318656e-05,0.8785982478097623,0.4431725265739983,0.12640340689121174,0.00015119887245227813,0.0002078252801106945,2022-03-17,4.6461107164935205e-05,3.602674899360885e-06,3.3664361582779976,1.365485018135453,6.700718631981581e-05
Audius,AUDIO,1.7839342550247177e-05,0.9148936170212766,0.5494685200327064,0.11188540456833138,0.00013652838908893372,0.0004924069363504123,2022-03-16,,,7.246982676003332,3.5804021236080485,7.501805189514591e-05
Audius,AUDIO,1.803520705073448e-05,0.8823529411764707,0.5363859362224038,0.09910956252419664,0.00011350048346898163,0.0005051155095386937,2022-03-17,1.793727480049083e-05,1.3849711648828823e-07,5.962660829822818,4.411470539122486,6.088006308720518e-05
Augur,REP,0.0003258342922400363,0.904881101376721,0.5445625511038429,0.10511033681765386,0.00013644398410731545,3.5364271373717615e-05,2022-03-16,,,0.41747144454201623,0.25729952171719206,7.43022840682519e-05
Augur,REP,0.00032898830996124894,0.8823529411764707,0.5363859362224038,0.10007742934572203,0.00010177714934417518,3.688870336115643e-05,2022-03-17,0.00032741130110064263,2.230227318651993e-06,0.30842652988564057,0.358919308392426,5.459183153702282e-05
Aurora,AURORA,0.00016619247219712142,0.8798498122653317,0.5118560915780866,0.09659310878823071,2.2313483904373225e-05,0.00011562821850160353,2022-03-16,,,0.13345985983187944,4.959714257031896,1.1421292660783023e-05
Aurora,AURORA,0.00017832330958640066,0.8798498122653317,0.5870809484873262,0.09465737514518,2.2419102326156923e-05,0.00013124211271886186,2022-03-17,0.00017225789089176104,8.577797379430663e-06,0.12502056970655598,5.604062482458041,1.3161827857874627e-05
Aurory,AURY,0.00019457863168803485,0.8886107634543179,0.5298446443172525,0.10646535036778937,2.6362161304860862e-05,1.3522834147281382e-05,2022-03-16,,,0.13479060098401155,0.4942165933682681,1.396784998000804e-05
Aurory,AURY,0.00019627694892253398,0.8798498122653317,0.5347506132461161,0.10878823073945022,2.483072008009592e-05,1.4269413133728814e-05,2022-03-17,0.0001954277903052844,1.2008916331203238e-06,0.12586731605346532,0.5524202612037994,1.3278242790173942e-05
Automata,ATA,8.924293106166743e-06,0.9198998748435545,0.5617334423548649,0.11478900503290744,0.00018155666892684686,2.2865158955143677e-05,2022-03-16,,,18.294166343598963,0.12524965036640803,0.00010198645261876022
Automata,ATA,8.930625403283945e-06,0.886107634543179,0.5314799672935404,0.10743321718931473,6.531525018975545e-05,2.3042027431149516e-05,2022-03-17,8.927459254725345e-06,4.47761023206114e-09,6.577153757925098,0.3474619693843681,3.471374703462064e-05
Avalanche,AVAX,0.0017878428143959717,0.9236545682102628,0.5543744889615698,0.11014324428958573,0.014962274146515983,0.025125720727815184,2022-03-16,,,8.364219609517905,1.6791592857145776,0.008294703083677706
Avalanche,AVAX,0.001935596413797393,0.8836045056320401,0.5960752248569092,0.11324041811846687,0.02393893558753267,0.027340143201609254,2022-03-17,0.0018617196140966823,0.00010447757208146564,12.361344582164017,1.1420307753813392,0.014269406413173603
Avalaunch,XAVA,9.170913062694681e-05,0.9173967459324155,0.5543744889615698,0.10375532326751837,1.225144349445736e-05,2.3993600759581444e-05,2022-03-16,,,0.13214926525151083,1.8106405366039686,6.791887726281349e-06
Avalaunch,XAVA,9.5105765095945e-05,0.8785982478097623,0.5560098119378577,0.10336817653890822,2.2852691924981314e-05,2.7244946227609218e-05,2022-03-17,9.340744786144591e-05,2.40178326624059e-06,0.23778689969500633,1.1422168329384719,1.270632093948266e-05
Axie Infinity,AXS,0.0012242441092900577,0.9261576971214018,0.5789043336058871,0.12524196670538132,0.0049882907267267485,0.0047266117845443075,2022-03-16,,,4.071262770336525,0.9473514460130943,0.0028877431189881747
Axie Infinity,AXS,0.0012349192461926233,0.8886107634543179,0.5363859362224038,0.11653116531165308,0.003965729500858779,0.004775004574040378,2022-03-17,0.0012295816777413405,7.548461693898888e-06,3.2087286552706566,1.2037635974438414,0.0021271615311229423
BENQI,QI,1.2037716667067418e-06,0.9261576971214018,0.5372035977105477,0.10356174990321329,0.00017003844408559259,1.4588051386406621e-05,2022-03-16,,,77.15792278049094,0.08529106695513634,9.134526391188414e-05
BENQI,QI,1.2311178193510106e-06,0.8811013767209012,0.5478331970564185,0.0987224157955865,0.00014724787353665304,1.7577849238632458e-05,2022-03-17,1.2174447430288762e-06,1.933664997412489e-08,65.99735444696714,0.1185706669464401,8.066727331934385e-05
BENQI Liquid Staked AVAX,SAVAX,0.0017783807612323339,0.9249061326658323,0.5576451349141455,0.10859465737514515,4.004662532772581e-06,5.5177468462395046e-05,2022-03-16,,,0.0022505933637267713,11.025212609455757,2.2331805783735895e-06
BENQI Liquid Staked AVAX,SAVAX,0.0019358390305451788,0.8811013767209012,0.605887162714636,0.11362756484707699,1.9645440709346044e-05,6.941538593542633e-05,2022-03-17,0.0018571098958887564,0.0001113398099850102,0.010143042555176241,3.362262250183038,1.190292033166428e-05
BNB,BNB,0.009302653960306682,0.9036295369211514,0.5511038430089941,0.10878823073945022,0.024093462139330796,0.08244469704457359,2022-03-16,,,2.589677372151166,3.4217280538499466,0.013277999576376901
BNB,BNB,0.009452591110438174,0.8836045056320401,0.5412919051512673,0.10607820363917922,0.024602652934976037,0.08440000352452796,2022-03-17,0.009377622535372429,0.00010602157560976254,2.6024663694002,3.430385063046743,0.013317216878948598
BTC Standard Hashrate Token,BTCST,0.00037314455805822545,0.9211514392991239,0.5461978740801308,0.09252806813782422,0.00018590457838486713,5.7912593595501634e-05,2022-03-16,,,0.4968790120847785,0.30985112347676214,0.00010154068549557745
BTC Standard Hashrate Token,BTCST,0.0003658660556246579,0.8898623279098873,0.5159443990188062,0.09020518776616335,5.436084717356481e-05,5.69133611894854e-05,2022-03-17,0.0003695053068414417,5.146678427658432e-06,0.14817627943529776,1.0280435379005892,2.8047174625118064e-05
BTSE Token,BTSE,0.00020428330159945828,0.8886107634543179,0.5380212591986917,0.13259775454897405,2.839126396725737e-05,0.0001343715953275474,2022-03-16,,,0.13830284171214974,4.571820915127734,1.5275103589906254e-05
BTSE Token,BTSE,0.00020549638533838623,0.902377972465582,0.5339329517579721,0.12504839334107623,3.1481677285024714e-06,0.00013657553772172479,2022-03-17,0.00020488984346892224,8.577797379430911e-07,0.015245631168524136,32.92430457507799,1.6809104879085145e-06
Baby Doge Coin,BABYDOGE,3.348111119441073e-14,0.9136420525657072,0.5453802125919869,0.10046457607433215,0.00018384456175067547,0.0004985366883034406,2022-03-16,,,183.84455559535547,2.697058996931073,0.00010026518617146404
Baby Doge Coin,BABYDOGE,3.2656214251939735e-14,0.886107634543179,0.5183973834832378,0.09427022841656986,0.0001696797833262784,0.0004950071511398445,2022-03-17,3.3068662723175234e-14,5.832902218012921e-16,169.67977778517923,2.9002096293593755,8.796155570634545e-05
Badger DAO,BADGER,0.00017759545934304392,0.9111389236545683,0.5502861815208503,0.1068524970963995,7.121465784363277e-05,8.777548501619017e-06,2022-03-16,,,0.39874842342349004,0.12154801758702705,3.918844213308655e-05
Badger DAO,BADGER,0.00017565452536075923,0.8748435544430538,0.5192150449713818,0.09368950832365464,6.720908049204101e-05,8.277333080811944e-06,2022-03-17,0.00017662499235190156,1.3724475807089018e-06,0.38045490402687615,0.12135236278075595,3.489596575016029e-05
BakerySwap,BAKE,1.3305806001125738e-05,0.9148936170212766,0.5551921504497137,0.10704607046070458,0.00019009534613477843,5.042638522344771e-05,2022-03-16,,,13.28798573948365,0.2638807602770309,0.0001055394440110503
BakerySwap,BAKE,1.3585276232899952e-05,0.8836045056320401,0.5453802125919869,0.1049167634533488,0.0002669825020436681,5.408867683528239e-05,2022-03-17,1.3445541117012845e-05,1.9761529602732232e-07,18.304932850118856,0.20183659911671606,0.0001456069737229163
Balancer,BAL,0.0002777961761784905,0.916145181476846,0.5461978740801308,0.10994967092528066,0.00042153318434574367,7.402848928920007e-05,2022-03-16,,,1.5119762047090282,0.17520159843498878,0.00023024052914387305
Balancer,BAL,0.0002794944934129896,0.8811013767209012,0.5331152902698282,0.10065814943863721,0.00015353588932062322,7.565256024316211e-05,2022-03-17,0.00027864533479574007,1.200891633120276e-06,0.5473757700282648,0.4895468656229235,8.185233020200027e-05
Banana,BANANA,0.0004539359350708253,0.9011264080100125,0.41291905151267366,0.24506387921022063,9.508005420144156e-06,2.273977553015248e-05,2022-03-16,,,0.020899657923623752,2.1640429958819456,3.926036579863285e-06
Banana,BANANA,0.00037193147431929753,0.8836045056320401,0.38021259198691737,0.18408826945412304,9.353901600944148e-06,3.1473238354093775e-06,2022-03-17,0.0004129337046950614,5.7985910284951354e-05,0.02508209214043301,0.3039746712603856,3.5564711728855507e-06
Bancor Network Token,BNT,5.5559235206894645e-05,0.902377972465582,0.5551921504497137,0.12001548586914437,0.0004508055051395294,0.0006672724592096026,2022-03-16,,,7.970502137988168,1.4769020111951299,0.0002502836778329848
Bancor Network Token,BNT,5.628708545025139e-05,0.8873591989987485,0.5388389206868356,0.11014324428958573,0.0003122042919529355,0.0006825941451893587,2022-03-17,5.592316032857302e-05,5.146678427658322e-07,5.449819789209847,2.179389499847373,0.00016822782370971747
Band Protocol,BAND,8.782726266237746e-05,0.9148936170212766,0.5690923957481602,0.11633759194734802,0.0004454445287733005,0.00010825579321340913,2022-03-16,,,5.014727634536996,0.24248430932923404,0.0002534990940525079
Band Protocol,BAND,8.661417892344954e-05,0.8823529411764707,0.5183973834832378,0.09969028261711185,0.0002539202529037021,0.00010676539550831074,2022-03-17,8.72207207929135e-05,8.577797379430624e-07,2.89816392761676,0.4188188042816751,0.00013163159471868118
Basic Attention Token,BAT,1.9957774945211794e-05,0.9073842302878599,0.5731807031888797,0.15660085172280291,0.005606527252449162,0.0014920053677937699,2022-03-16,,,267.5153859179159,0.26607188884229077,0.0032135532330064285
Basic Attention Token,BAT,2.0650154620042295e-05,0.8836045056320401,0.5568274734260016,0.1546651180797522,0.003582986101608341,0.0015584175540165205,2022-03-17,2.0303964782627044e-05,4.895863632283843e-07,165.4947119080363,0.43482801267481724,0.0019951050982790516
Beefy.Finance,BIFI,0.03531844782535496,0.8961201501877347,0.5666394112837285,0.09659310878823071,2.4679257152958817e-05,6.0860968101173645e-05,2022-03-16,,,0.000698744138781303,2.3700439517644347,1.398423974407233e-05
Beefy.Finance,BIFI,0.03549191880002166,0.8760951188986233,0.5322976287816843,0.09001161440185829,2.4250017258708616e-05,6.25813236906252e-05,2022-03-17,0.03540518331268831,0.00012266250252585846,0.0006832353629562249,2.4784665709106073,1.2908226684725516e-05
Beldex,BDX,2.4593088895990355e-06,0.9036295369211514,0.5388389206868356,0.19318621757646143,2.9813254887637542e-06,0.00011130449481959286,2022-03-16,,,0.8618269093365976,27.95664286522681,1.6064542085816138e-06
Beldex,BDX,2.3801555019535142e-06,0.8873591989987485,0.5044971381847915,0.181184668989547,4.676968061204511e-06,0.0001049118872807284,2022-03-17,2.419732195776275e-06,5.596989715803574e-08,1.3836547041997098,18.48026730988314,2.3595170022593484e-06
Beta Finance,BETA,9.401204847288866e-06,0.904881101376721,0.5380212591986917,0.09407665505226478,0.0003211342009222904,9.430081478728242e-05,2022-03-16,,,30.874711693231948,0.29273766808148055,0.00017277702715197635
Beta Finance,BETA,9.466201874020625e-06,0.8823529411764707,0.5339329517579721,0.0911730545876887,0.0002796403322226287,9.633703032064928e-05,2022-03-17,9.433703360654746e-06,4.595983835898993e-08,26.718415676345437,0.3432757849083012,0.00014930918801420807
Bezoge Earth,BEZOGE,3.801804437800117e-14,0.8961201501877347,0.5241210139002452,0.10007742934572203,3.269217245085093e-06,8.652340976046213e-05,2022-03-16,,,3.2692171207958514,20.266808830136625,1.7134654571541654e-06
